INSTITUIÇÃO,GRUPO,LÍDER,ÁREA PREDOMINANTE,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Rede de Inovação Tecnológica de Sistemas Agropecuários no Vale do Rio Urucuia,Juliana Maria Nogueira Pereira,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Desenvolvimento Sustentável,Juliana Maria Nogueira Pereira,Ciência e Tecnologia de Alimentos,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Estudo de olerícolas orgânicas no Norte de Minas Gerais,Nelson Licínio Campos de Oliveira,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudo e Pesquisas em Inovação do Vale do Jequitinhonha e Norte de Minas Gerais - Vale Inovar,João Leandro Cássio de Oliveira,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de estudo e pesquisa em aves e suínos,Wagner Azis Garcia de Araújo,Zootecnia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Instrumentação médica e nuclear,Wagner Leite Araujo,Engenharia Nuclear,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Agricultura familiar e agroecologia no semiárido norte mineiro,Vico Mendes Pereira Lima,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Edição e recepção de textos de Machado de Assis,Alex Sander Luiz Campos,Letras,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisas em Produção de Animais Ruminantes - GEPAR,Rogério Mendes Murta,Zootecnia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Pesquisa em Fruticultura no Norte de Minas Gerais,Rodrigo Amato Moreira,Agronomia,, 
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de Estudos Em Agroecologia - NEA Minas d'água - Extrativismo,Tatiana Tozzi Martins Souza Rodrigues,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Núcleo de Estudos Rurais Sustentáveis para o Norte de Minas Gerais (NORT - SEMIÁRIDO),Claubert Wagner Guimarães de Menezes,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Imunopatologia e Microbiologia Tumoral,Eduardo Garrido,Medicina Veterinária,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,"Multimodalidade, ensino e formação docente",Edson Antunes Quaresma Júnior,Educação,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,NEA Jequi,Vico Mendes Pereira Lima,Agronomia,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,GEOPRO,César Vinícius Mendes Nery,Geociências,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Saúde Educação Trabalho e Gestão - SETEG,Danilo Lima Carreiro,Saúde Coletiva,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisa em Proteção Florestal,Romildo Lopes de Oliveira,Recursos Florestais e Engenharia Florestal,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de pesquisa em GeoInformática ,Bruno Lopes de Faria,Geociências,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Grupo de Estudos e Pesquisas Interdisciplinares em Administração,Nesmária Sany Costa Alves,Administração,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Wi-Sci,Eliane Macedo Sobrinho Santos,Divulgação Científica,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Formação Profissional Técnica na Saúde,Ariane Gonçalves de Oliveira,Enfermagem,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Estudos e Perspectivas do Ensino Técnico e Tecnológico em Diamantina-EPETT,Ramony Maria da Silva Reis Oliveira,Divulgação Científica,,
Instituto Federal de Educação Ciência e Tecnologia do Norte de Minas Gerais,Tecnologias na Educação,Marcos Vinícius Montanari,Ciência da Computação,,
