Título,Coordenador,Campus,Período de Execução
Análise da qualidade da água para o consumo humano no Assentamento Jerusalém no município de Rubim-MG.,Roberta Pereira Matos,ALMENARA,De 10/06/2019 a 07/12/2019
Desenvolvendo o Empreendedorismo Local: Ações Extensivas Para Novos Negócios e Execução do Clube do Empreendedor,Paulo Eduardo Ferreira dos Santos,ALMENARA,De 01/05/2019 a 01/10/2019
"Desenvolvimento de atividades para demonstração dos benefícios da produção da cultura do tomate enxertado em plantas de jurubeba, junto aos produtores do município de Jequitinhonha",Edimilson Alves Barbosa,ALMENARA,De 10/06/2019 a 07/12/2019
Resgate e valorização de sementes de Feijão-Caupi na região do Baixo Jequitinhonha.,Jose Maria Gomes Neves,ALMENARA,De 10/06/2019 a 07/12/2019
EDUCAÇÃO EM SAÚDE SOBRE DOENÇAS CRÔNICAS NÃO -TRANSMISSÍVEIS NA UNIDADE BÁSICA DE SAÚDE - SANTO ANTÔNIO,Leila Conceicao de Paula Miranda,ALMENARA,De 13/06/2019 a 05/12/2019
Difusão da Tecnologia de aplicação de produtos fitossanitários no vale do Jequitinhonha,Edimilson Alves Barbosa,ALMENARA,De 10/06/2019 a 07/12/2019
Introdução a Informática para Jovens e Adultos na Comunidade Atendida pela Escola Estadual Laudelina Dias Lacerda II,Paulo Sergio Henrique dos Santos,ALMENARA,De 10/06/2019 a 07/12/2019
Análise da qualidade da água para consumo em escolas públicas nos municípios de Almenara-MG e Jequitinhonha-MG,Roberta Pereira Matos,ALMENARA,De 10/08/2019 a 07/12/2019
Ações educativas e promoção de saúde em sala de espera em Unidade de Saúde do município de Almenara-MG,Mariana Mapelli de Paiva,ALMENARA,De 01/06/2019 a 15/12/2019
IFormar - Projeto para divulgação do IFNMG Almenara.,Marco Aurelio Madureira de Carvalho,ALMENARA,De 01/06/2019 a 30/11/2019
Alternativas para o destino da manipueira na comunidade rural de Marianos no município de Joaíma-MG,Luiz Celio Souza Rocha,ALMENARA,De 10/06/2019 a 07/12/2019
Levantamento descritivo da população forrageira em propriedades rurais do Baixo Jequitinhonha,Paulo Eduardo Ferreira dos Santos,ALMENARA,De 10/06/2019 a 07/12/2019
Robótica criativa com Scratch e Arduino,Alan Teixeira de Oliveira,ALMENARA,De 01/05/2019 a 30/11/2019
"Lixo Eletrônico II: Inclusão Digital, Reaproveitamento e Reciclagem de Equipamentos de Informática",Marco Aurelio Madureira de Carvalho,ALMENARA,De 01/06/2019 a 30/11/2019
Portfólio de Oportunidades - Situações-problema,Paulo Sergio Henrique dos Santos,ALMENARA,De 01/04/2019 a 10/10/2019
"III Festival Intercampi de Culturas: Encantos dos Vales, Montes e Sertões",Edimilson Alves Barbosa,ALMENARA,De 01/04/2019 a 10/10/2019
Grupo de Soluções Tecnológicas GST,Marco Aurelio Madureira de Carvalho,ALMENARA,De 01/06/2019 a 30/11/2019
